201710;001;AA;UGST;UNIV;101L3;040;15852;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;041;15876;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;042;15877;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;043;15878;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;045;15883;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;046;15953;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;05:00 pm;06:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;048;15954;F  ;Introduction to the University;L  ;M1 ;0020;0007;0013;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0021;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;049;15955;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;08:00 am;09:15 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;050;15956;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;08:00 am;09:15 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;179L3;000;17324;F  ;Special Topics                ;L  ;M1 ;0020;0000;0020;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;179L3;001;17325;F  ;Special Topics                ;L  ;M1 ;0020;0000;0020;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;298  ;000;13354;A  ;Honors College Orientation    ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0002                                                                      
201710;002;AA;UGST;UNIV;299  ;000;13355;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;001;13357;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;002;13358;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;003;13359;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;    ;ECA ;ECA  ;000;16186;A  ;Early College Alliance        ;L  ;WC1;0200;0000;0200;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0000                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13504;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0005;0025;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;PRAY-H;306       ;Ferreira,Ana Maria M     ;0015;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13505;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0003;0027;09/07/2016;12/20/2016;11:00 am;12:15 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0009;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13506;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0005;0025;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0015;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13507;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0003;0027;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;PRAY-H;306       ;NOT ASSIGNED             ;0009;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13508;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0007;0023;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0021;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13805;A  ;Intro to African Amer Studies ;L  ;M1 ;0019;0002;0017;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13806;A  ;Intro to African Amer Studies ;L  ;M1 ;0025;0000;0025;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
